date,run_ts,sku_id,shop_id,status,title,url,price_local,currency,price_eur,price_eur_net,vat,availability,source,flag
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,starbike,error,Shimano 105 Di2 ST-R7170 shift- and brake dual control lever,https://www.starbike.com/en/shimano-105-di2-st-r7170-shift-and-brake-dual-control-lever/,,,,,0.19,unknown,,neznámá měna OMR
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,starbike,not_found,,,,,,,0.19,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,starbike,error,Shimano 105 Di2 FD-R7150-F front derailleur braze-on,https://www.starbike.com/en/shimano-105-di2-fd-r7150-f-front-derailleur-braze-on/,,,,,0.19,unknown,,neznámá měna OMR
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,rose,ok,105 Di2 ST-R7170-L STI Brems-/Schalthebelkombination Vorderrad mit BR-R7170 Scheibenbremse J-Kit Direct,https://www.rosebikes.de/p/shimano-105-di2-st-r7170-l-sti-brems-schalthebelkombination-vorderrad-mit-br-r7170-scheibenbremse-j-kit-direct-2713286,199.95,EUR,199.95,168.03,0.19,out,jsonld,vyprodáno
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,rose,ok,105 RD-R7150 12-fach Schaltungsrädchen,https://www.rosebikes.de/p/shimano-105-rd-r7150-12-fach-schaltungsraedchen-165828,7.95,EUR,7.95,6.68,0.19,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,rose,ok,105 FD-R7150 Di2 Umwerfer 2-/12-fach,https://www.rosebikes.de/p/shimano-105-fd-r7150-di2-umwerfer-2-12-fach-2713285,84.95,EUR,84.95,71.39,0.19,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,bike-components,ok,105 Front+Rear Set Disc Brake BR-R7170 + Di2 ST-R7170,https://www.bike-components.de/en/Shimano/105-Front-Rear-Set-Disc-Brake-BR-R7170-Di2-ST-R7170-p88625/,299.0,EUR,299.0,251.26,0.19,out,jsonld,vyprodáno
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,bike-components,ok,105 Di2 Rear Derailleur Shadow RD-R7150 12-speed,https://www.bike-components.de/en/Shimano/105-Di2-Rear-Derailleur-Shadow-RD-R7150-12-speed-p88619/,149.99,EUR,149.99,126.04,0.19,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,bike-components,ok,105 Di2 Umwerfer FD-R7150 2-/12-fach,https://www.bike-components.de/de/Shimano/105-Di2-Umwerfer-FD-R7150-2-12-fach-p88620/,64.99,EUR,64.99,54.61,0.19,out,jsonld,vyprodáno
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,mantel,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,mantel,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,mantel,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,alltricks,not_found,,,,,,,0.2,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,alltricks,not_found,,,,,,,0.2,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,alltricks,not_found,,,,,,,0.2,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,bikeinn,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,bikeinn,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,bikeinn,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,kupkolo,ok,"Řadicí a brzdová páka Shimano 105 Di2, ST-R7170, 2x12",https://www.kupkolo.cz/radici-a-brzdova-paka-shimano-105-di2-st-r7170-2x12_z119215/,4590.0,CZK,190.33,157.3,0.21,in_stock,jsonld,ověřit variantu
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,kupkolo,ok,"Přehazovačka Shimano 105 Di2, RD-R7150, 12s",https://www.kupkolo.cz/prehazovacka-shimano-105-di2-rd-r7150-12s_z119220/,3990.0,CZK,165.45,136.74,0.21,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,kupkolo,ok,"Přesmykač Shimano 105, FD-R7150, 2x12 Di2",https://www.kupkolo.cz/presmykac-shimano-105-fd-r7150-2x12-di2_z123245/,2590.0,CZK,107.4,88.76,0.21,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,hupnakolo,ok,Shimano 105 Di2 ST R7170 BR R7170 hydraulická brzda přední 2x12 - Hupnakolo,https://www.hupnakolo.cz/shimano-kot-brzd-set-105-br-r7170-st-r7170-predleva-j-kit--st--polymer-chl-bh90100cm-pro-160mm-k/,5597.0,CZK,232.09,191.81,0.21,unknown,meta,
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,hupnakolo,ok,Shimano 105 RD R7150 Di2 přehazovačka 12s,https://www.hupnakolo.cz/shimano-prehazovacka-105-rd-r7150-12-rychl--max-36z-min-11z-kapacita-41z-bal/,3737.0,CZK,154.96,128.07,0.21,unknown,meta,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,hupnakolo,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,koloshop,ok,Shimano 105 ST-R7170 Di2/BR-R7170 12sp. řadící a brzdová páka a třmen FM zadní,https://www.koloshop.cz/shimano-105-st-r7170-di2-br-r7170-12sp-radici-a-brzdova-paka-a-trmen-fm-zadni/57516,4999.0,CZK,207.29,171.31,0.21,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,koloshop,not_found,,,,,,,0.21,unknown,,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,koloshop,ok,Shimano 105 FD-R7150 Di2 2x12 sp. silniční přesmykač,https://www.koloshop.cz/Shimano-105-FD-R7150-Di2-2x12-sp.-silnicni-presmykac/57515,3309.0,CZK,137.21,113.4,0.21,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-STBR,bike-discount,ok,105 Di2 ST-R7170+BR-R7170 2x12-fach Scheibenbremsen-Set,https://www.bike-discount.de/de/shimano-105-di2-st-r7170-br-r7170-2x12-fach-scheibenbremsen-set-1,439.99,EUR,439.99,369.74,0.19,out,jsonld,vyprodáno
2026-08-23,2026-08-23T18:14:11Z,SH-105-RD,bike-discount,ok,105 RD-R7150 Schaltrollensatz,https://www.bike-discount.de/de/shimano-105-rd-r7150-schaltrollensatz,7.99,EUR,7.99,6.71,0.19,in_stock,jsonld,
2026-08-23,2026-08-23T18:14:11Z,SH-105-FD,bike-discount,ok,105 Di2 FD-R7150 2x12-fach Umwerfer Anlöt,https://www.bike-discount.de/de/shimano-105-di2-fd-r7150-2x12-fach-umwerfer,99.99,EUR,99.99,84.03,0.19,in_stock,jsonld,
2026-08-23,2026-08-23T18:20:39Z,SH-105-STBR,starbike,error,Shimano 105 Di2 ST-R7170 shift- and brake dual control lever,https://www.starbike.com/en/shimano-105-di2-st-r7170-shift-and-brake-dual-control-lever/,,,,,0.19,unknown,,neznámá měna OMR
2026-08-23,2026-08-23T18:20:39Z,SH-105-RD,starbike,not_found,,,,,,,0.19,unknown,,
2026-08-23,2026-08-23T18:20:39Z,SH-105-FD,starbike,error,Shimano 105 Di2 FD-R7150-F front derailleur braze-on,https://www.starbike.com/en/shimano-105-di2-fd-r7150-f-front-derailleur-braze-on/,,,,,0.19,unknown,,neznámá měna OMR
2026-08-23,2026-08-23T18:20:39Z,SH-105-FC,starbike,error,Shimano 105 FC-R7100 crankset 12-speed Hollowtech black,https://www.starbike.com/en/shimano-105-fc-r7100-crankset-12-speed-hollowtech-black/,,,,,0.19,unknown,,neznámá měna OMR
2026-08-23,2026-08-23T18:20:39Z,SH-105-CS,starbike,not_found,,,,,,,0.19,unknown,,
2026-08-23,2026-08-23T18:20:39Z,SH-105-CS2,starbike,not_found,,,,,,,0.19,unknown,,
2026-08-23,2026-08-23T18:20:39Z,SH-105-CN,starbike,error,Shimano CN-M7100 12-speed chain,https://www.starbike.com/en/shimano-cn-m7100-12-speed-chain/,,,,,0.19,unknown,,neznámá měna OMR
2026-08-23,2026-08-23T18:20:39Z,SH-105-SET,starbike,error,Shimano 105 Di2 R7170 2x12-speed Flatmount groupset electric,https://www.starbike.com/en/shimano-105-di2-r7170-2x12-speed-flatmount-groupset-electric/,,,,,0.19,unknown,,neznámá měna OMR
2026-08-23,2026-08-23T18:20:39Z,SH-105-STBR,bike-components,ok,105 Front+Rear Set Disc Brake BR-R7170 + Di2 ST-R7170,https://www.bike-components.de/en/Shimano/105-Front-Rear-Set-Disc-Brake-BR-R7170-Di2-ST-R7170-p88625/,299.0,EUR,299.0,251.26,0.19,out,jsonld,vyprodáno
2026-08-23,2026-08-23T18:20:39Z,SH-105-RD,bike-components,ok,105 Di2 Rear Derailleur Shadow RD-R7150 12-speed,https://www.bike-components.de/en/Shimano/105-Di2-Rear-Derailleur-Shadow-RD-R7150-12-speed-p88619/,149.99,EUR,149.99,126.04,0.19,in_stock,jsonld,
2026-08-23,2026-08-23T18:20:39Z,SH-105-FD,bike-components,ok,105 Di2 Umwerfer FD-R7150 2-/12-fach,https://www.bike-components.de/de/Shimano/105-Di2-Umwerfer-FD-R7150-2-12-fach-p88620/,64.99,EUR,64.99,54.61,0.19,out,jsonld,vyprodáno
2026-08-23,2026-08-23T18:20:39Z,SH-105-FC,bike-components,ok,105 FC-R7100 Hollowtech II Crankset,https://www.bike-components.de/en/Shimano/105-FC-R7100-Hollowtech-II-Crankset-p88622/,103.99,EUR,103.99,87.39,0.19,in_stock,jsonld,ověřit variantu
2026-08-23,2026-08-23T18:20:39Z,SH-105-CS,bike-components,not_found,,,,,,,0.19,unknown,,
