date,sku_id,price_eur_net,shop_id,price_local,currency,url
2026-08-23,SH-105-CS,41.97,rose,49.95,EUR,https://www.rosebikes.de/p/shimano-105-cs-r7100-12-fach-zahnkranz-2713281
2026-08-23,SH-105-CS2,47.09,hupnakolo,1374.0,CZK,https://www.hupnakolo.cz/shimano-kazeta-105-cs-hg710-12-12-rychl--11-36-z--bal/
2026-08-23,SH-105-CN,5.98,starbike,7.12,EUR,https://www.starbike.com/en/shimano-cn-m7100-12-speed-chain/
2026-08-23,SH-105-SET,366.31,starbike,435.91,EUR,https://www.starbike.com/en/shimano-105-di2-r7170-2x12-speed-flatmount-groupset-electric/
2026-08-23,SH-105-STBR,62.06,starbike,73.85,EUR,https://www.starbike.com/en/shimano-105-di2-st-r7170-shift-and-brake-dual-control-lever/
2026-08-23,SH-105-RD,126.04,bike-components,149.99,EUR,https://www.bike-components.de/en/Shimano/105-Di2-Rear-Derailleur-Shadow-RD-R7150-12-speed-p88619/
2026-08-23,SH-105-FD,36.56,starbike,43.51,EUR,https://www.starbike.com/en/shimano-105-di2-fd-r7150-f-front-derailleur-braze-on/
2026-08-23,SH-105-FC,44.74,starbike,53.24,EUR,https://www.starbike.com/en/shimano-105-fc-r7100-crankset-12-speed-hollowtech-black/
2026-08-23,SH-105-CS,41.97,rose,49.95,EUR,https://www.rosebikes.de/p/shimano-105-cs-r7100-12-fach-zahnkranz-2713281
2026-08-23,SH-105-CS2,47.09,hupnakolo,1374.0,CZK,https://www.hupnakolo.cz/shimano-kazeta-105-cs-hg710-12-12-rychl--11-36-z--bal/
2026-08-23,SH-105-CN,5.98,starbike,7.12,EUR,https://www.starbike.com/en/shimano-cn-m7100-12-speed-chain/
2026-08-23,SH-105-SET,366.31,starbike,435.91,EUR,https://www.starbike.com/en/shimano-105-di2-r7170-2x12-speed-flatmount-groupset-electric/
2026-08-23,SH-105-STBR,62.06,starbike,73.85,EUR,https://www.starbike.com/en/shimano-105-di2-st-r7170-shift-and-brake-dual-control-lever/
2026-08-23,SH-105-RD,126.04,bike-components,149.99,EUR,https://www.bike-components.de/en/Shimano/105-Di2-Rear-Derailleur-Shadow-RD-R7150-12-speed-p88619/
2026-08-23,SH-105-FD,36.56,starbike,43.51,EUR,https://www.starbike.com/en/shimano-105-di2-fd-r7150-f-front-derailleur-braze-on/
2026-08-23,SH-105-FC,44.74,starbike,53.24,EUR,https://www.starbike.com/en/shimano-105-fc-r7100-crankset-12-speed-hollowtech-black/
2026-08-23,SH-105-CS,41.97,rose,49.95,EUR,https://www.rosebikes.de/p/shimano-105-cs-r7100-12-fach-zahnkranz-2713281
2026-08-23,SH-105-CS2,47.09,hupnakolo,1374.0,CZK,https://www.hupnakolo.cz/shimano-kazeta-105-cs-hg710-12-12-rychl--11-36-z--bal/
2026-08-23,SH-105-CN,5.98,starbike,7.12,EUR,https://www.starbike.com/en/shimano-cn-m7100-12-speed-chain/
2026-08-23,SH-105-SET,366.31,starbike,435.91,EUR,https://www.starbike.com/en/shimano-105-di2-r7170-2x12-speed-flatmount-groupset-electric/
