SKU,Název,Značka,Řada,Generace,Kategorie,Jednotka,Min € bez DPH,Nejlevnější shop,Δ % vs. minulý běh,Δ % vs. 30d min,Dostupnost (min),bike-components.de,bike-discount.de,rosebikes.de,starbike.com,mantel.com,koloshop.cz,hupnakolo.cz,kupkolo.cz
SR-FORCE-SET-PM,SRAM Force AXS 2025 (E1) kompletní sada 2x12 disc s wattmetrem,SRAM,Force AXS,2025 (E1),Kompletní sada s wattmetrem,sada,2361.34,bike-components.de,0.0,0.0,vyprodáno,2361.34,,,,,,,
SR-RIVAL-STBR,SRAM Rival AXS Shift-Brake System (1 strana vč. třmenu a hadičky),SRAM,Rival AXS,2025 (E1),Páka + třmen (1 strana),ks,16.8,bike-discount.de,0.0,0.0,skladem,117.64,16.8,168.03,371.0,162.77,,,18.79
SR-RIVAL-RD,SRAM Rival AXS přehazovačka 12s (max 36T),SRAM,Rival AXS,2025 (E1),Přehazovačka,ks,163.02,bike-components.de,0.0,0.0,skladem,163.02,184.87,193.24,219.24,185.08,,,
SR-RIVAL-FD,SRAM Rival AXS přesmykač,SRAM,Rival AXS,2025 (E1),Přesmykač,ks,106.61,mantel.com,0.0,0.0,skladem,109.24,121.0,126.01,128.49,106.61,,,
SR-RIVAL-FC,SRAM Rival AXS kliky 2x (46-33) bez wattmetru,SRAM,Rival AXS,2025 (E1),Kliky,ks,60.5,bike-components.de,0.0,0.0,skladem,60.5,109.24,119.29,67.98,111.57,,,136.55
SR-RIVAL-FC-PM,SRAM Rival AXS kliky 2x s wattmetrem (Quarq),SRAM,Rival AXS,2025 (E1),Kliky s wattmetrem,ks,226.01,rosebikes.de,22.3,22.3,skladem,234.45,226.88,226.01,252.86,,,,239.23
SR-RIVAL-CS,SRAM XG-1250 kazeta 12s (10-30),SRAM,Rival AXS,2025 (E1),Kazeta,ks,71.42,bike-components.de,0.0,0.0,skladem,71.42,,,87.31,78.47,,78.13,
SR-RIVAL-CN,SRAM Rival Flattop řetěz 12s,SRAM,Rival AXS,2025 (E1),Řetěz,ks,15.92,rosebikes.de,0.0,0.0,předobjednávka,25.2,,15.92,27.65,24.75,,,
SR-RIVAL-SET,SRAM Rival AXS 2025 (E1) kompletní sada 2x12 disc bez wattmetru,SRAM,Rival AXS,2025 (E1),Kompletní sada,sada,18.79,kupkolo.cz,-0.1,-0.1,skladem,1327.73,966.38,,,581.11,,,18.79
SR-RIVAL-SET-PM,SRAM Rival AXS 2025 (E1) kompletní sada 2x12 disc s wattmetrem,SRAM,Rival AXS,2025 (E1),Kompletní sada s wattmetrem,sada,1462.18,bike-components.de,0.0,0.0,vyprodáno,1462.18,,,,,,,
SR-FORCE-D2-SET,SRAM Force AXS D2 (2023) kompletní sada 2x12 disc – dobíhající generace,SRAM,Force AXS,D2 (2023) – dobíhající,Kompletní sada,sada,16.8,bike-discount.de,0.0,0.0,skladem,,16.8,,1146.13,,,1142.1,
SR-RIVAL-D1-SET,SRAM Rival eTap AXS D1 kompletní sada 2x12 disc – dobíhající generace,SRAM,Rival AXS,"D1 (2021, eTap) – dobíhající",Kompletní sada,sada,5.45,bike-components.de,0.0,0.0,skladem,5.45,17.64,,1111.0,,,,
SR-RED-D1-SET,SRAM Red eTap AXS D1 kompletní sada 2x12 disc – dobíhající generace,SRAM,Red AXS,"D1 (2019, eTap) – dobíhající",Kompletní sada,sada,4.19,bike-components.de,0.0,0.0,skladem,4.19,4.19,,26.81,,,,
SR-X-BATTERY,SRAM AXS baterie,SRAM,AXS společné,,Baterie,ks,38.64,kupkolo.cz,-0.0,-0.0,skladem,,,,183.11,39.63,,42.27,38.64
SR-X-CHARGER,SRAM AXS nabíječka baterie,SRAM,AXS společné,,Nabíječka,ks,34.67,mantel.com,0.0,0.0,skladem,,,,630.17,34.67,,,
SR-X-PACELINE-160,SRAM Paceline kotouč 160 mm Center Lock (Force/Rival),SRAM,AXS společné,,Kotouč,ks,30.25,hupnakolo.cz,-0.1,-0.1,?,,,,,,,30.25,
SR-X-PACELINE-X-160,SRAM Paceline X kotouč 160 mm Center Lock (Red E1),SRAM,AXS společné,,Kotouč,ks,45.79,hupnakolo.cz,-0.0,-0.0,?,,,,,,,45.79,
SR-X-CENTERLINE-XR-160,SRAM Centerline XR kotouč 160 mm Center Lock,SRAM,AXS společné,,Kotouč,ks,,,,,,,,,,,,,
